query,sku,rank_ht,type_ht,found_ht,new_ht,score_ht,rank_ltr,type_ltr,found_ltr,new_ltr,score_ltr
iPod touch 64,8771885,23,hand_tuned,True,False,0.14066577,24,ltr_hand_tuned,True,False,0.52258825
iPod touch 64,9999165700050033,146,hand_tuned,True,False,0.008972319,153,ltr_hand_tuned,True,False,0.37691534
iPod touch 64,9999165700050022,152,hand_tuned,True,False,0.008972027,159,ltr_hand_tuned,True,False,0.37691504
digital picture frame,1145239,221,hand_tuned,True,False,0.0028932742,225,ltr_hand_tuned,True,False,0.3708363
digital picture frame,1525426,244,hand_tuned,True,False,0.0016056269,247,ltr_hand_tuned,True,False,0.36954865
digital picture frame,8408458,251,hand_tuned,True,False,0.0014022146,252,ltr_hand_tuned,True,False,0.36934525
digital picture frame,2915371,300,hand_tuned,True,False,0.001012166,301,ltr_hand_tuned,True,False,0.3689552
digital picture frame,2612859,301,hand_tuned,True,False,0.0010027268,302,ltr_hand_tuned,True,False,0.36894575
digital picture frame,1068073,302,hand_tuned,True,False,0.0010006268,303,ltr_hand_tuned,True,False,0.36894363
digital picture frame,1174959,339,hand_tuned,True,False,0.00095788424,340,ltr_hand_tuned,True,False,0.3689009
digital picture frame,1232823,369,hand_tuned,True,False,0.00095678424,370,ltr_hand_tuned,True,False,0.3688998
digital picture frame,1635186,385,hand_tuned,True,False,0.0009312483,386,ltr_hand_tuned,True,False,0.36887428
digital picture frame,2863614,386,hand_tuned,True,False,0.000930921,387,ltr_hand_tuned,True,False,0.36887395
digital picture frame,1208962,387,hand_tuned,True,False,0.00091864826,388,ltr_hand_tuned,True,False,0.36886168
digital picture frame,9823687,389,hand_tuned,True,False,0.00091864826,390,ltr_hand_tuned,True,False,0.36886168
digital picture frame,9376784,415,hand_tuned,True,False,0.0009171876,416,ltr_hand_tuned,True,False,0.36886021
digital picture frame,1178755,451,hand_tuned,True,False,0.0008494295,452,ltr_hand_tuned,True,False,0.36879244
microsd,1437168,105,hand_tuned,True,False,0.052863598,106,ltr_hand_tuned,True,False,0.42080662
microsd,9146685,111,hand_tuned,True,False,0.051046666,112,ltr_hand_tuned,True,False,0.4189897
microsd,9927567,122,hand_tuned,True,False,0.048916847,123,ltr_hand_tuned,True,False,0.41685987
microsd,9690237,127,hand_tuned,True,False,0.046961527,128,ltr_hand_tuned,True,False,0.41490453
microsd,3735513,138,hand_tuned,True,False,0.038994353,140,ltr_hand_tuned,True,False,0.40693736
microsd,3026197,141,hand_tuned,True,False,0.0336369,142,ltr_hand_tuned,True,False,0.40157992
microsd,9226964,164,hand_tuned,True,False,0.0044853906,178,ltr_hand_tuned,True,False,0.37242842
microsd,2300462,418,hand_tuned,True,False,0.0017668353,423,ltr_hand_tuned,True,False,0.36970985
microsd,2603545,440,hand_tuned,True,False,0.0005637916,442,ltr_hand_tuned,True,False,0.36850682
Ipad 2,2352252,47,hand_tuned,True,False,0.12844189,51,ltr_hand_tuned,True,False,0.521299
Ipad 2,9924603,51,hand_tuned,True,False,0.08616075,57,ltr_hand_tuned,True,False,0.48146555
Ipad 2,2339904,75,hand_tuned,True,False,0.050634313,78,ltr_hand_tuned,True,False,0.41857734
Ipad 2,2343139,129,hand_tuned,True,False,0.028480535,132,ltr_hand_tuned,True,False,0.39642355
Ipad 2,2330145,130,hand_tuned,True,False,0.028480439,133,ltr_hand_tuned,True,False,0.39642346
Ipad 2,2330321,131,hand_tuned,True,False,0.028480439,134,ltr_hand_tuned,True,False,0.39642346
Ipad 2,2343263,132,hand_tuned,True,False,0.028480439,135,ltr_hand_tuned,True,False,0.39642346
Ipad 2,3006175,134,hand_tuned,True,False,0.028480416,137,ltr_hand_tuned,True,False,0.39642343
Ipad 2,2343227,141,hand_tuned,True,False,0.028479937,144,ltr_hand_tuned,True,False,0.39642295
Ipad 2,2343509,142,hand_tuned,True,False,0.028479937,145,ltr_hand_tuned,True,False,0.39642295
Ipad 2,2985144,152,hand_tuned,True,False,0.027274603,155,ltr_hand_tuned,True,False,0.39521763
Ipad 2,3346415,163,hand_tuned,True,False,0.0271,166,ltr_hand_tuned,True,False,0.39504302
Ipad 2,2986046,166,hand_tuned,True,False,0.02704468,168,ltr_hand_tuned,True,False,0.3949877
Ipad 2,2629877,289,hand_tuned,True,False,0.02605202,290,ltr_hand_tuned,True,False,0.39399505
Ipad 2,2824389,296,hand_tuned,True,False,0.025947103,297,ltr_hand_tuned,True,False,0.3938901
Ipad 2,2918599,297,hand_tuned,True,False,0.025947103,298,ltr_hand_tuned,True,False,0.3938901
Ipad 2,2701307,331,hand_tuned,True,False,0.025717106,332,ltr_hand_tuned,True,False,0.39366013
Ipad 2,3686161,334,hand_tuned,True,False,0.025716104,335,ltr_hand_tuned,True,False,0.3936591
Ipad 2,2577182,335,hand_tuned,True,False,0.025716051,336,ltr_hand_tuned,True,False,0.39365906
halo,5402771,5,hand_tuned,True,False,0.06608639,9,ltr_hand_tuned,True,False,0.437231
halo,4225706,15,hand_tuned,True,False,0.056658905,18,ltr_hand_tuned,True,False,0.4246019
halo,3345134,40,hand_tuned,True,False,0.049699478,41,ltr_hand_tuned,True,False,0.4176425
halo,1272641,44,hand_tuned,True,False,0.047746282,45,ltr_hand_tuned,True,False,0.4156893
wii console,2803428,8,hand_tuned,True,False,0.1344124,11,ltr_hand_tuned,True,False,0.5093944
wii console,9999168300050007,16,hand_tuned,True,False,0.064353764,24,ltr_hand_tuned,True,False,0.43229678
wii console,2539739,23,hand_tuned,True,False,0.056942195,31,ltr_hand_tuned,True,False,0.4248852
wii console,1503576,25,hand_tuned,True,False,0.05683619,33,ltr_hand_tuned,True,False,0.4247792
wii console,9999159400050001,79,hand_tuned,True,False,0.005122757,99,ltr_hand_tuned,True,False,0.37306577
wii console,9999159400050003,83,hand_tuned,True,False,0.0046954053,103,ltr_hand_tuned,True,False,0.37263843
lcd tv,1825196,276,hand_tuned,True,False,0.0036085083,285,ltr_hand_tuned,True,False,0.3715515
lcd tv,2072076,285,hand_tuned,True,False,0.0035711164,294,ltr_hand_tuned,True,False,0.37151414
lcd tv,1288169,358,hand_tuned,True,False,0.0025589173,365,ltr_hand_tuned,True,False,0.37050194
