query,sku,rank_ht,type_ht,found_ht,new_ht,score_ht,rank_ltr,type_ltr,found_ltr,new_ltr,score_ltr
iPod touch 64,9225439,10,hand_tuned,True,False,4.5746593,10,ltr_hand_tuned,True,False,4.956582
iPod touch 64,3109357,15,hand_tuned,True,False,1.4949992,15,ltr_hand_tuned,True,False,1.8629422
digital picture frame,9504299,476,hand_tuned,True,False,0.00079903175,476,ltr_hand_tuned,True,False,0.36874205
digital picture frame,9678539,481,hand_tuned,True,False,0.00076406426,481,ltr_hand_tuned,True,False,0.3687071
microsd,9215725,1,hand_tuned,True,False,550.41437,1,ltr_hand_tuned,True,False,550.7823
microsd,9941511,2,hand_tuned,True,False,525.09204,2,ltr_hand_tuned,True,False,525.45996
Ipad 2,1945531,1,hand_tuned,True,False,689.65814,1,ltr_hand_tuned,True,False,690.5946
Ipad 2,2339322,2,hand_tuned,True,False,658.4695,2,ltr_hand_tuned,True,False,659.03094
Ipad 2,2490083,3,hand_tuned,True,False,460.39502,3,ltr_hand_tuned,True,False,460.87128
Ipad 2,2319133,13,hand_tuned,True,False,168.43405,13,ltr_hand_tuned,True,False,168.81569
Ipad 2,2319197,15,hand_tuned,True,False,147.77875,15,ltr_hand_tuned,True,False,148.17938
Ipad 2,2538172,24,hand_tuned,True,False,13.218763,24,ltr_hand_tuned,True,False,13.600409
Ipad 2,2339659,40,hand_tuned,True,False,0.87033266,40,ltr_hand_tuned,True,False,1.2709723
Ipad 2,1918159,42,hand_tuned,True,False,0.71068424,42,ltr_hand_tuned,True,False,1.0786272
Ipad 2,2339877,171,hand_tuned,True,False,0.027028713,171,ltr_hand_tuned,True,False,0.39497173
Ipad 2,3458977,181,hand_tuned,True,False,0.027027713,181,ltr_hand_tuned,True,False,0.39497074
Ipad 2,3458704,183,hand_tuned,True,False,0.027027713,183,ltr_hand_tuned,True,False,0.39497074
Ipad 2,2821249,187,hand_tuned,True,False,0.027027436,187,ltr_hand_tuned,True,False,0.39497045
Ipad 2,3437029,191,hand_tuned,True,False,0.027027436,191,ltr_hand_tuned,True,False,0.39497045
Ipad 2,3600078,197,hand_tuned,True,False,0.027027436,197,ltr_hand_tuned,True,False,0.39497045
wii console,3668575,1,hand_tuned,True,False,1050.0236,1,ltr_hand_tuned,True,False,1050.623
wii console,1151188,3,hand_tuned,True,False,7.618022,3,ltr_hand_tuned,True,False,7.985965
ozzy osbourne,1154916,4,hand_tuned,True,False,0.13406095,4,ltr_hand_tuned,True,False,0.60159785
lcd tv,2893174,11,hand_tuned,True,False,0.6358822,11,ltr_hand_tuned,True,False,1.0178046
lcd tv,2022228,499,hand_tuned,True,False,0.00035273863,499,ltr_hand_tuned,True,False,0.36829576
Toshiba,8971008,14,hand_tuned,True,False,290.0388,14,ltr_hand_tuned,True,False,290.40674
Toshiba,9642774,21,hand_tuned,True,False,172.73944,21,ltr_hand_tuned,True,False,173.10739
Toshiba,9789843,31,hand_tuned,True,False,77.00492,31,ltr_hand_tuned,True,False,77.37286
Toshiba,2945870,47,hand_tuned,True,False,12.526993,47,ltr_hand_tuned,True,False,12.902315
Toshiba,2238624,473,hand_tuned,True,False,0.02935566,473,ltr_hand_tuned,True,False,0.3972987
Toshiba,2355595,500,hand_tuned,True,False,0.028330466,500,ltr_hand_tuned,True,False,0.3962735
rolling stones,9405805,40,hand_tuned,True,False,0.0010607678,40,ltr_hand_tuned,True,False,0.36900377
rolling stones,8234047,334,hand_tuned,True,False,1.4000001e-06,334,ltr_hand_tuned,True,False,0.36794442
rolling stones,7342663,335,hand_tuned,True,False,1.4000001e-06,335,ltr_hand_tuned,True,False,0.36794442
tivo,9999163500050001,16,hand_tuned,True,False,0.054093633,16,ltr_hand_tuned,True,False,0.42203665
