query,sku,clicks,rank,num_impressions,doc_id,product_name,query_id
1080p,1004722,15,1.0,83,1004722,fake,2
1219686,1219686,15,1.0,21,1219686,fake,3
1404497 1416723 1416778 1416678,1404497,15,2.0,63,1404497,fake,4
1404497 1416723 1416778 1416678,1416723,17,1.0,63,1416723,fake,4
1404497 1416723 1416778 1416678,1416778,11,3.0,63,1416778,fake,4
1450lmt,1089764,26,1.0,27,1089764,fake,5
19 tv,1854221,16,1.0,42,1854221,fake,6
2009281,2009281,20,1.0,21,2009281,fake,7
2622037 2127204 2127213 2121716 2138291,1647223,16,16.0,2954,1647223,fake,8
2622037 2127204 2127213 2121716 2138291,1831054,29,9.0,2954,1831054,fake,8
2622037 2127204 2127213 2121716 2138291,1853531,16,16.0,2954,1853531,fake,8
2622037 2127204 2127213 2121716 2138291,1854249,24,11.0,2954,1854249,fake,8
2622037 2127204 2127213 2121716 2138291,1945531,14,18.0,2954,1945531,fake,8
2622037 2127204 2127213 2121716 2138291,2009148,12,20.0,2954,2009148,fake,8
2622037 2127204 2127213 2121716 2138291,2009281,16,16.0,2954,2009281,fake,8
2622037 2127204 2127213 2121716 2138291,2047508,11,21.0,2954,2047508,fake,8
2622037 2127204 2127213 2121716 2138291,2047526,12,20.0,2954,2047526,fake,8
2622037 2127204 2127213 2121716 2138291,2121716,103,5.0,2954,2121716,fake,8
2622037 2127204 2127213 2121716 2138291,2125233,14,18.0,2954,2125233,fake,8
2622037 2127204 2127213 2121716 2138291,2127204,123,4.0,2954,2127204,fake,8
2622037 2127204 2127213 2121716 2138291,2127213,153,3.0,2954,2127213,fake,8
2622037 2127204 2127213 2121716 2138291,2127443,23,12.0,2954,2127443,fake,8
2622037 2127204 2127213 2121716 2138291,2127504,34,7.0,2954,2127504,fake,8
2622037 2127204 2127213 2121716 2138291,2128276,16,16.0,2954,2128276,fake,8
2622037 2127204 2127213 2121716 2138291,2135081,14,18.0,2954,2135081,fake,8
2622037 2127204 2127213 2121716 2138291,2138291,257,1.0,2954,2138291,fake,8
2622037 2127204 2127213 2121716 2138291,2138389,10,22.0,2954,2138389,fake,8
2622037 2127204 2127213 2121716 2138291,2144103,15,17.0,2954,2144103,fake,8
2622037 2127204 2127213 2121716 2138291,2145032,16,16.0,2954,2145032,fake,8
2622037 2127204 2127213 2121716 2138291,2146553,10,22.0,2954,2146553,fake,8
2622037 2127204 2127213 2121716 2138291,2351086,12,20.0,2954,2351086,fake,8
2622037 2127204 2127213 2121716 2138291,2355277,41,6.0,2954,2355277,fake,8
2622037 2127204 2127213 2121716 2138291,2371074,10,22.0,2954,2371074,fake,8
2622037 2127204 2127213 2121716 2138291,2390524,14,18.0,2954,2390524,fake,8
2622037 2127204 2127213 2121716 2138291,2584325,11,21.0,2954,2584325,fake,8
2622037 2127204 2127213 2121716 2138291,2620821,23,12.0,2954,2620821,fake,8
2622037 2127204 2127213 2121716 2138291,2622037,180,2.0,2954,2622037,fake,8
2622037 2127204 2127213 2121716 2138291,2731608,34,7.0,2954,2731608,fake,8
2622037 2127204 2127213 2121716 2138291,2769576,10,22.0,2954,2769576,fake,8
2622037 2127204 2127213 2121716 2138291,2775225,10,22.0,2954,2775225,fake,8
2622037 2127204 2127213 2121716 2138291,2833077,24,11.0,2954,2833077,fake,8
2622037 2127204 2127213 2121716 2138291,2893174,33,8.0,2954,2893174,fake,8
2622037 2127204 2127213 2121716 2138291,2969477,10,22.0,2954,2969477,fake,8
2622037 2127204 2127213 2121716 2138291,2970255,18,14.0,2954,2970255,fake,8
2622037 2127204 2127213 2121716 2138291,2970291,20,13.0,2954,2970291,fake,8
2622037 2127204 2127213 2121716 2138291,2975038,10,22.0,2954,2975038,fake,8
2622037 2127204 2127213 2121716 2138291,3070224,10,22.0,2954,3070224,fake,8
2622037 2127204 2127213 2121716 2138291,3104158,10,22.0,2954,3104158,fake,8
2622037 2127204 2127213 2121716 2138291,3143456,15,17.0,2954,3143456,fake,8
2622037 2127204 2127213 2121716 2138291,3158185,24,11.0,2954,3158185,fake,8
2622037 2127204 2127213 2121716 2138291,3179912,27,10.0,2954,3179912,fake,8
2622037 2127204 2127213 2121716 2138291,3184708,13,19.0,2954,3184708,fake,8
2622037 2127204 2127213 2121716 2138291,3247045,14,18.0,2954,3247045,fake,8
2622037 2127204 2127213 2121716 2138291,3415337,17,15.0,2954,3415337,fake,8
2622037 2127204 2127213 2121716 2138291,9748831,34,7.0,2954,9748831,fake,8
2622037 2127204 2127213 2121716 2138291,9755322,20,13.0,2954,9755322,fake,8
2670346,2670346,20,1.0,22,2670346,fake,9
2678499,2678499,21,1.0,24,2678499,fake,10
2686552,2686552,32,1.0,35,2686552,fake,11
2712515,2712515,21,1.0,27,2712515,fake,12
2712579,2712579,22,1.0,29,2712579,fake,13
2715258,2715258,20,1.0,25,2715258,fake,14
2738329,2738329,29,1.0,31,2738329,fake,15
2754104,2754104,28,1.0,30,2754104,fake,16
2775225,2775225,24,1.0,25,2775225,fake,17
2794165,2794165,24,1.0,26,2794165,fake,18
2794253,2794253,20,1.0,75,2794253,fake,19
2809404,2809404,22,1.0,25,2809404,fake,20
2809538,2809538,22,1.0,23,2809538,fake,21
2842056,2842056,25,1.0,26,2842056,fake,22
2881042,2881042,24,1.0,25,2881042,fake,23
2881467,2881467,36,1.0,38,2881467,fake,24
2906406,2906406,40,1.0,41,2906406,fake,25
2925714,2925714,33,1.0,35,2925714,fake,26
2930088,2930088,28,1.0,29,2930088,fake,27
2969477,2969477,43,1.0,45,2969477,fake,28
2971032,2971032,29,1.0,33,2971032,fake,29
2971078,2971078,35,1.0,38,2971078,fake,30
2975038,2975038,45,1.0,48,2975038,fake,31
2k12,2978363,29,1.0,37,2978363,fake,32
2wire,8206078,47,1.0,55,8206078,fake,33
30 for 30,1405936,13,2.0,51,1405936,fake,34
30 for 30,2543759,26,1.0,51,2543759,fake,34
300,8381663,14,1.0,100,8381663,fake,35
300,9386577,12,2.0,100,9386577,fake,35
311,2903912,11,1.0,21,2903912,fake,36
3167208,3167208,31,1.0,36,3167208,fake,37
32,2125233,12,1.0,59,2125233,fake,38
32 gb micro sd,2603545,23,1.0,38,2603545,fake,39
32 inch tv,2047641,10,2.0,78,2047641,fake,40
32 inch tv,2893174,15,1.0,78,2893174,fake,40
32 tv,2047641,16,3.0,140,2047641,fake,41
32 tv,2125233,17,2.0,140,2125233,fake,41
32 tv,2731608,13,4.0,140,2731608,fake,41
32 tv,2893174,20,1.0,140,2893174,fake,41
32gb micro sd,2603545,25,1.0,54,2603545,fake,42
32gb micro sd,3026197,16,2.0,54,3026197,fake,42
32gb micro sd card,2603545,11,1.0,24,2603545,fake,43
3547042,3547042,78,1.0,237,3547042,fake,44
3D,2244466,10,1.0,81,2244466,fake,45
3D glasses,2244466,20,1.0,78,2244466,fake,46
3DS,1824258,11,2.0,71,1824258,fake,47
3DS,1824267,14,1.0,71,1824267,fake,47
3DS,1988047,10,3.0,71,1988047,fake,47
3d,2145184,24,1.0,309,2145184,fake,48
3d,2244466,22,2.0,309,2244466,fake,48
3d,2970264,10,3.0,309,2970264,fake,48
3d,3103256,10,3.0,309,3103256,fake,48
3d camera,2266034,10,1.0,26,2266034,fake,49
3d glasses,2239605,10,9.0,394,2239605,fake,50
3d glasses,2244466,118,1.0,394,2244466,fake,50
3d glasses,2340469,39,2.0,394,2340469,fake,50
3d glasses,2535315,16,5.0,394,2535315,fake,50
3d glasses,2738301,31,4.0,394,2738301,fake,50
3d glasses,2822423,10,9.0,394,2822423,fake,50
3d glasses,9828673,32,3.0,394,9828673,fake,50
3d glasses,9961858,11,8.0,394,9961858,fake,50
3d glasses,9981903,15,6.0,394,9981903,fake,50
3d glasses,9999159000050002,12,7.0,394,9999159000050002,fake,50
3d monitor,2525405,16,1.0,33,2525405,fake,51
3d movies,2068098,12,1.0,142,2068098,fake,52
3d movies,2863978,10,2.0,142,2863978,fake,52
3d starter kit,2145184,19,1.0,32,2145184,fake,53
3d tv,2072128,12,8.0,395,2072128,fake,54
3d tv,2121834,14,7.0,395,2121834,fake,54
3d tv,2122236,10,9.0,395,2122236,fake,54
3d tv,2128142,15,6.0,395,2128142,fake,54
3d tv,2135072,42,2.0,395,2135072,fake,54
3d tv,2144103,12,8.0,395,2144103,fake,54
3d tv,2145184,18,5.0,395,2145184,fake,54
3d tv,2244466,29,4.0,395,2244466,fake,54
3d tv,2970264,48,1.0,395,2970264,fake,54
3d tv,2970291,30,3.0,395,2970291,fake,54
3ds,1824258,91,2.0,547,1824258,fake,55
3ds,1824267,119,1.0,547,1824267,fake,55
3ds,1974633,20,5.0,547,1974633,fake,55
3ds,1988047,71,3.0,547,1988047,fake,55
3ds,2582044,51,4.0,547,2582044,fake,55
3tb,1261281,16,1.0,44,1261281,fake,56
42,9748831,10,1.0,43,9748831,fake,57
47lw5600,2128045,21,1.0,25,2128045,fake,58
50 cent,5295753,12,1.0,63,5295753,fake,59
50 cent,7031883,11,2.0,63,7031883,fake,59
55 inch tv,2009148,11,1.0,46,2009148,fake,60
55 led,9896008,10,1.0,37,9896008,fake,61
55lw5600,2128036,40,1.0,49,2128036,fake,62
55lw6500,2355204,10,1.0,20,2355204,fake,63
60,2009281,17,1.0,63,2009281,fake,64
60 inch,2009281,11,1.0,30,2009281,fake,65
60 inch tv,2120247,14,1.0,40,2120247,fake,66
60 tv,2009281,13,1.0,63,2009281,fake,67
60d,1221963,55,1.0,91,1221963,fake,68
60d,1222177,20,2.0,91,1222177,fake,68
70,2047632,13,1.0,52,2047632,fake,69
70 inch tv,2047632,15,2.0,56,2047632,fake,70
70 inch tv,2931851,22,1.0,56,2931851,fake,70
70 sharp,2047632,10,2.0,29,2047632,fake,71
70 sharp,2931851,15,1.0,29,2931851,fake,71
7d,9491935,27,1.0,55,9491935,fake,72
7d,9491944,20,2.0,55,9491944,fake,72
9/11,4738582,34,1.0,63,4738582,fake,73
